23,23,24,24,24,24,24,24,24,24
8,8,8,8,9,9,9,8,9,9
14,14,14,14,14,14,14,14,14,14
19,19,19,19,19,19,19,19,18,19
7,7,7,7,7,7,7,7,6,7
1,2,0,2,1,1,2,1,2,3
5,6,7,6,6,5,7,6,7,7
8,7,8,8,7,8,8,7,7,7
1,2,2,2,2,2,2,2,3,3
9,9,9,9,9,9,9,9,9,9
5,5,4,4,5,5,5,4,5,5
11,11,11,11,11,11,10,10,11,11
17,16,17,18,16,17,18,16,17,18
1,2,2,2,2,0,2,2,2,1
1,2,2,2,2,0,2,2,2,1
3,4,3,4,4,5,4,4,5,4
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,1
5,6,5,6,6,7,6,7,6,4
10,9,10,9,10,9,10,8,9,9
9,9,9,9,9,9,10,10,10,10
5,6,6,5,7,6,6,7,5,6
4,5,5,5,6,5,6,5,6,5
7,7,8,7,7,8,8,8,7,7
5,5,6,6,5,5,6,6,6,6
9,8,8,8,9,8,8,8,9,9
6,6,6,6,6,6,6,6,6,6
5,5,5,5,4,4,4,5,4,5
7,6,7,6,7,6,6,5,7,6
8,7,7,9,6,8,8,8,8,8
5,5,6,6,5,5,5,5,6,6
4,3,4,3,5,4,5,4,4,3
5,5,5,6,5,5,5,4,5,5
5,6,6,6,6,6,6,6,6,7
3,3,3,3,3,3,3,2,3,3
3,4,4,4,4,4,5,4,4,4
2,3,2,3,3,3,3,2,3,3
2,2,2,2,2,2,2,2,3,3
4,4,3,3,4,4,4,4,5,5
4,4,4,4,4,4,2,3,4,4
4,4,3,3,4,4,4,4,5,5
3,3,3,3,3,3,3,2,3,3
6,6,6,7,7,6,7,7,7,7
5,5,6,5,5,4,5,5,5,5
2,2,2,2,2,2,0,1,2,2
2,3,3,2,4,3,3,4,3,4
4,5,5,6,4,5,6,4,6,5
6,8,7,8,6,7,6,7,8,8
1,2,2,2,2,2,2,3,0,2
3,4,4,5,4,5,4,5,4,4
3,4,4,4,4,4,4,4,4,5
7,7,7,7,7,7,7,7,7,7
5,5,5,5,5,5,5,5,5,5
5,6,6,6,6,6,6,6,5,5
3,3,4,4,4,4,4,4,4,4
8,8,9,9,7,7,8,9,8,9
2,3,3,2,3,2,3,4,3,3
17,17,17,17,17,17,17,17,17,17
1,1,2,2,2,2,3,3,2,2
1,2,0,2,2,1,3,2,3,2
12,12,12,12,12,12,12,12,11,12
3,2,3,3,3,3,3,3,3,4
5,5,5,5,5,5,5,4,5,5
5,5,5,5,5,5,5,4,5,5
5,5,5,5,5,5,5,4,5,5
5,5,5,5,5,5,5,4,5,5
4,5,5,5,4,4,4,6,6,5
7,7,7,7,7,7,7,7,7,7
8,8,8,8,8,8,8,8,8,8
9,9,9,9,9,9,9,9,9,10
9,9,9,9,9,10,9,9,9,9
9,9,10,9,9,9,9,9,9,9
2,1,2,3,1,2,2,1,3,2
4,4,5,5,5,5,5,5,6,6
4,4,3,3,3,4,3,4,3,4
5,4,4,3,5,5,6,4,4,5
4,4,4,4,4,4,4,4,3,4
3,3,4,4,3,3,4,3,4,4
3,3,3,3,3,3,2,2,3,3
9,9,8,8,8,8,9,9,9,9
5,6,6,6,6,5,7,7,6,7
3,4,4,3,4,4,4,4,4,5
3,2,4,3,4,3,4,3,2,4
2,3,3,3,3,3,3,4,4,3
6,7,7,7,6,8,8,7,7,6
7,7,7,8,8,8,8,8,8,9
7,7,7,7,6,7,7,7,6,6
11,11,11,11,11,12,11,12,12,12
7,7,7,7,7,7,7,7,7,7
11,11,11,11,11,12,11,12,12,12
7,7,7,6,7,7,7,6,6,6
11,11,11,11,11,11,11,11,11,11
7,7,7,7,7,7,7,7,7,7
11,11,11,11,11,12,11,12,12,12
11,11,11,11,11,12,11,12,12,12
4,3,4,5,4,5,5,4,5,5
16,16,16,16,16,16,15,15,16,16
14,15,14,14,14,14,15,15,15,15
11,11,11,11,12,11,11,12,12,12
11,11,11,11,12,11,11,12,12,12
11,11,11,11,12,11,11,12,12,12
11,11,11,11,12,11,11,12,12,12
11,11,11,11,12,11,11,12,12,12
11,11,11,11,11,12,11,12,12,12
11,11,11,11,12,11,11,12,12,12
11,11,11,11,11,12,11,12,12,12
5,5,6,6,6,6,5,6,7,7
9,10,10,10,10,9,10,11,8,9
16,16,16,15,16,15,17,17,16,16
2,3,3,3,3,4,4,3,4,4
2,3,3,3,3,4,4,3,4,4
2,3,3,3,3,4,4,3,4,4
2,3,3,3,3,3,3,3,3,3
2,3,3,3,3,4,4,3,4,4
2,3,3,3,3,4,4,3,4,4
2,3,3,3,3,4,4,3,4,4
8,8,8,8,8,8,7,8,8,7
