23,24,24,24,24,24,24,24,24,20,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,19,24,24,24,24,24,24,24,20,19,24,24,24,24,23,24,24,23,24,24,24,24,24,24,24,24,24,23,19,24,20,24,20,23,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,20,24,24,24,24,24,24
9,6,6,11,8,8,6,11,8,8,8,8,9,6,6,11,6,11,11,8,4,7,8,6,8,7,5,11,6,9,8,13,8,6,8,8,6,8,11,8,12,6,8,11,6,6,6,6,6,6,7,8,6,8,6,9,8,6,6,9,9,9,9,6,9,9,9,9,9,6,9,9,9,12,6,9,9,9,9,9,9,4,9,9,8,9,8,12,10,6,9,8,8,6,9,9,9,9,8,9
11,14,14,13,14,13,13,13,13,13,14,14,14,14,13,14,14,14,13,13,13,12,13,13,14,12,13,13,14,14,14,14,12,14,14,13,15,15,15,15,14,15,15,14,14,15,13,15,15,14,15,15,15,14,14,13,13,14,14,13,14,15,14,14,13,13,15,13,14,13,14,13,13,14,14,14,14,13,13,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,14
24,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,13,13,13,13,24,24,24,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,24,24,24,24,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,24,24,24,24,19,19,19,19,19,19,24,24,24,24,24,24
4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,5,6
1,5,3,6,5,5,5,3,2,6,6,4,6,5,7,5,3,3,5,6,4,5,6,6,3,6,4,6,7,5,3,3,6,5,2,6,6,7,3,2,6,6,7,5,5,6,4,6,5,7,5,6,3,7,6,7,9,6,3,6,7,7,6,6,3,6,6,4,3,8,7,6,8,6,3,3,5,3,6,5,5,6,7,4,4,5,6,7,6,6,6,4,3,6,9,4,3,5,6,6
8,8,3,6,6,6,8,6,6,5,8,8,8,8,8,8,8,6,6,9,7,0,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,8,3,8,8,8,8,8,8,7,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,6,8,8,8,8,8,8,8,8,8,8,5,8,8,8,8,8,7,8,5,4,4,6,6,7,6,7,7,7,7,7,6,6,7,7,6,6
7,8,7,8,7,9,9,9,8,8,8,8,9,8,8,7,9,9,8,8,9,8,9,4,4,4,9,4,8,5,3,9,8,6,9,6,9,5,6,8,8,6,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,9,5,5,4,10,10,3,5,4,8,9,5,5
6,5,5,6,6,5,6,9,3,6,3,6,3,6,5,5,6,6,6,5,5,5,8,3,9,5,8,3,5,8,5,9,5,6,9,9,6,6,6,9,8,6,9,6,6,9,6,9,6,3,3,5,6,5,6,6,8,3,6,6,6,5,6,6,7,3,6,6,9,3,6,5,6,5,6,6,5,5,6,6,5,8,3,8,5,8,6,6,3,3,8,6,8,6,6,3,3,6,8,8
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,6,6,6,6,5,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,6,6,6,8,11,11,11,11,11,11,11,11,11,11,11,8,9,8,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,11,11,10,12,12,11,12
11,20,9,17,11,19,20,19,9,7,18,8,20,18,7,9,18,15,19,9,19,19,7,8,19,7,18,8,6,10,9,19,19,19,7,17,19,7,5,19,6,7,19,6,9,7,20,18,6,19,8,7,8,18,19,7,19,19,9,7,19,19,18,17,7,19,7,17,16,20,20,9,6,18,19,7,6,6,17,17,16,19,16,8,19,18,17,5,18,7,7,18,18,19,18,19,7,19,18,20
5,2,8,8,5,6,6,6,8,2,2,3,7,3,1,5,5,7,6,8,5,7,7,7,6,7,3,5,5,7,4,6,7,6,7,4,5,5,6,5,6,7,3,5,7,6,7,7,7,2,7,7,2,2,5,8,8,4,6,5,8,2,0,2,6,4,2,6,6,7,1,7,7,7,2,7,8,7,6,6,7,8,7,5,7,6,2,5,5,5,7,7,5,7,7,7,2,5,7,6
5,2,8,8,5,6,6,6,8,2,2,3,7,3,1,5,5,7,6,8,5,7,7,7,6,7,3,5,5,7,4,6,7,6,7,4,5,5,6,5,6,7,3,5,7,6,7,7,7,2,7,7,2,2,5,8,8,4,6,5,8,2,0,2,6,4,2,6,6,7,1,7,7,7,2,7,8,7,6,6,7,8,7,5,7,6,2,5,5,5,7,7,5,7,7,7,2,5,7,6
7,10,7,11,10,10,8,7,6,8,8,5,8,10,10,10,6,7,9,7,10,10,8,11,10,8,9,8,8,8,8,10,7,8,7,7,7,9,8,7,7,7,9,9,9,10,7,7,9,10,9,10,4,9,4,6,4,4,7,7,6,6,6,5,7,7,7,8,8,7,10,10,6,9,9,7,7,10,8,8,5,8,6,6,10,8,10,5,8,9,11,8,9,9,10,9,7,7,7,9
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,3,3,3,3,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,3,12,3,12,1,1
6,6,6,6,5,6,5,5,5,5,6,5,6,5,6,6,6,6,5,6,6,6,6,6,6,5,6,4,4,5,4,4,5,4,5,4,4,6,4,5,4,6,4,6,4,5,6,5,6,5,5,4,6,6,6,6,4,5,6,6,6,4,5,6,6,5,6,5,4,6,6,6,6,6,4,5,6,6,6,5,5,5,6,6,6,6,6,6,5,5,6,5,6,6,6,5,4,6,4,4
